PMERELG	clswrkr	GEDIV	A_ERNLWT	educ	marstat	sex	union	ERN_SRCE	ERN_VAL	WEWKRS	WEXP	WEMIND	WEIND	WEMOCG	POCCU2	occ	ind	PMHRUSLT	race	hispanic	age	disabled	HEFAMINC	PTFT	hrwage
1	4	2	12193.17	39	1	2	2	1	20000	1	1	5	6	17	40	5	13	40	1	1	51	2	14	2	11.25
1	1	2	17903.56	35	6	1	2	1	18000	1	1	11	18	13	33	3	11	40	1	1	44	2	4	2	8.75
1	1	2	17525.1	40	7	2	2	1	8000	3	3	11	18	1	3	1	11	40	1	2	19	2	6	2	16.325
1	4	2	13797.86	44	1	2	0	1	85000	1	1	10	15	8	21	2	10	40	1	2	41	2	15	2	40.875
1	1	2	14736.93	43	7	2	1	1	31200	1	1	8	12	2	6	1	8	40	1	2	35	2	12	2	15
1	3	2	0	39	1	2	0	1	22000	3	2	11	18	13	33	3	10	35	2	2	52	2	8	2	NA
1	4	2	0	42	1	2	0	1	40000	1	1	13	21	17	40	5	13	45	1	1	38	2	13	2	NA
1	1	2	0	43	1	1	0	1	95000	1	1	11	18	13	33	3	11	45	4	2	41	2	12	2	NA
1	1	2	0	39	7	2	0	1	1200	2	7	5	7	16	38	4	5	25	2	2	20	2	14	1	NA
1	1	2	0	44	1	2	0	1	82500	1	1	10	16	10	25	2	10	74	2	2	33	2	16	2	NA
1	1	2	0	39	1	2	0	1	16000	1	1	11	18	17	40	5	11	40	4	2	57	2	15	2	NA
1	1	2	0	39	1	1	0	1	65000	1	1	8	12	1	3	1	8	40	1	2	47	2	13	2	NA
